交易日期,客户ID,售货员,分公司,产品,单价,数量,订单金额
2019-04-26,C00835,王宇,吉林,苹果,10,8117,81170
2019-04-19,C00784,王梓戎,广东,西瓜,30,4650,139500
2019-10-12,C00373,王梓戎,广东,桃,6.5,6886,44759.0
2019-10-23,C00128,李智童,山东,榴莲,50,8849,442450
2019-08-08,C00463,陈天浩,上海,椰子,20,4798,95960
2019-03-01,C00970,蔡建平,山东,葡萄,15,7772,116580
2019-02-12,C00415,郭华锋,吉林,榴莲,50,575,28750
2019-05-27,C00722,张林,广东,葡萄,15,2213,33195
2019-02-08,C00678,江敏,上海,椰子,20,5540,110800
2019-03-17,C00300,李琳,上海,桔子,6,5626,33756
2019-09-26,C00294,李辉,北京,梨,8,3443,27544
2019-06-04,C00068,吴中岳,广东,桔子,6,8330,49980
2019-02-03,C00099,殷琳,广东,香蕉,7.5,860,6450.0
2019-09-04,C00969,戴雪,上海,榴莲,50,6776,338800
2019-09-07,C00168,王玉,吉林,椰子,20,6303,126060
2019-10-10,C00316,蔡勇,广东,苹果,10,2688,26880
2019-06-15,C00841,李琳,上海,苹果,10,7348,73480
2019-04-17,C00029,董丹丹,广东,西瓜,30,267,8010
2019-11-11,C00384,刘丹,上海,榴莲,50,8501,425050
2019-02-06,C00885,刘丹,上海,葡萄,15,3224,48360
2019-04-16,C00189,李琳,上海,梨,8,8007,64056
2019-10-25,C00478,刘丹,上海,葡萄,15,5494,82410
2019-08-20,C00128,张林,广东,香蕉,7.5,5776,43320.0
2019-11-01,C00509,王玉,吉林,西瓜,30,8239,247170
2019-05-04,C00399,刘帆,天津,桃,6.5,6775,44037.5
2019-08-20,C00607,殷琳,广东,桔子,6,8126,48756
2019-10-19,C00106,蔡勇,广东,桔子,6,4905,29430
2019-04-24,C00686,许亮,吉林,桃,6.5,7922,51493.0
2019-11-26,C00461,刘帆,天津,西瓜,30,64,1920
2019-12-03,C00739,许亮,吉林,西瓜,30,9408,282240
2019-08-01,C00229,李琳,上海,西瓜,30,2609,78270
